Player Name,Club,Position,Metric,Value
Leroy Sané,Galatasaray,CAM_Winger,Goals,11
Leroy Sané,Galatasaray,CAM_Winger,Assists,5
Leroy Sané,Galatasaray,CAM_Winger,NPG,11
Leroy Sané,Galatasaray,CAM_Winger,XG,10.2
Leroy Sané,Galatasaray,CAM_Winger,XA,5.5
Leroy Sané,Galatasaray,CAM_Winger,Progressive passes,64
Leroy Sané,Galatasaray,CAM_Winger,Progressive carries,75
Leroy Sané,Galatasaray,CAM_Winger,Passes completed,750
Leroy Sané,Galatasaray,CAM_Winger,Passes attempted,909
Leroy Sané,Galatasaray,CAM_Winger,Key passes,36
Leroy Sané,Galatasaray,CAM_Winger,Through balls,5
Leroy Sané,Galatasaray,CAM_Winger,Switches,2
Leroy Sané,Galatasaray,CAM_Winger,Crosses,51
Leroy Sané,Galatasaray,CAM_Winger,Corners,15
Leroy Sané,Galatasaray,CAM_Winger,Shot creating Actions,76
Leroy Sané,Galatasaray,CAM_Winger,SCA Take Ons,8
Leroy Sané,Galatasaray,CAM_Winger,GCA Shots,0
Leroy Sané,Galatasaray,CAM_Winger,Goal Creating Actions,9
Leroy Sané,Galatasaray,CAM_Winger,Tackles,23
Leroy Sané,Galatasaray,CAM_Winger,Dribblers tackles,NA
Leroy Sané,Galatasaray,CAM_Winger,Shots blocked,0
Leroy Sané,Galatasaray,CAM_Winger,Blocks,8
Leroy Sané,Galatasaray,CAM_Winger,Interceptions,7
Leroy Sané,Galatasaray,CAM_Winger,Passes Recieved,953
Leroy Sané,Galatasaray,CAM_Winger,Offsides,6
Leroy Sané,Galatasaray,CAM_Winger,Ball recoveries,82
Leroy Sané,Galatasaray,CAM_Winger,Errors,0
Leroy Sané,Galatasaray,CAM_Winger,Touches,1184
Leroy Sané,Galatasaray,CAM_Winger,Miscontrols,65
Leroy Sané,Galatasaray,CAM_Winger,Dispossessed,27
Leroy Sané,Galatasaray,CAM_Winger,Yellow Cards,2
Leroy Sané,Galatasaray,CAM_Winger,Red Cards,0
Leroy Sané,Galatasaray,CAM_Winger,Fouls committed,16
Leroy Sané,Galatasaray,CAM_Winger,Aerials Won,7
