Name,Club,Position,Metric,Value
Bradley Barcola,Paris Saint-Germain,CAM_Winger,Dispossessed,20
Bradley Barcola,Paris Saint-Germain,CAM_Winger,Yellow Cards,2
Bradley Barcola,Paris Saint-Germain,CAM_Winger,Red Cards,0
Bradley Barcola,Paris Saint-Germain,CAM_Winger,Fouls committed,30
Bradley Barcola,Paris Saint-Germain,CAM_Winger,Aerials Won,14
Filip Kostić,Juventus,CAM_Winger,Goals,1
Filip Kostić,Juventus,CAM_Winger,Assists,6
Filip Kostić,Juventus,CAM_Winger,NPG,1
Filip Kostić,Juventus,CAM_Winger,XG,NA
Filip Kostić,Juventus,CAM_Winger,XA,NA
Filip Kostić,Juventus,CAM_Winger,Progressive passes,NA
Filip Kostić,Juventus,CAM_Winger,Progressive carries,NA
Filip Kostić,Juventus,CAM_Winger,Passes completed,NA
Filip Kostić,Juventus,CAM_Winger,Passes attempted,NA
Filip Kostić,Juventus,CAM_Winger,Key passes,NA
Filip Kostić,Juventus,CAM_Winger,Through balls,NA
Filip Kostić,Juventus,CAM_Winger,Switches,NA
Filip Kostić,Juventus,CAM_Winger,Crosses,195
Filip Kostić,Juventus,CAM_Winger,Corners,NA
Filip Kostić,Juventus,CAM_Winger,Shot creating Actions,NA
Filip Kostić,Juventus,CAM_Winger,SCA Take Ons,NA
Filip Kostić,Juventus,CAM_Winger,GCA Shots,NA
Filip Kostić,Juventus,CAM_Winger,Goal Creating Actions,NA
Filip Kostić,Juventus,CAM_Winger,Tackles,29
Filip Kostić,Juventus,CAM_Winger,Dribblers tackles,NA
Filip Kostić,Juventus,CAM_Winger,Shots blocked,NA
Filip Kostić,Juventus,CAM_Winger,Blocks,NA
Filip Kostić,Juventus,CAM_Winger,Interceptions,16
Filip Kostić,Juventus,CAM_Winger,Passes Recieved,NA
Filip Kostić,Juventus,CAM_Winger,Offsides,6
Filip Kostić,Juventus,CAM_Winger,Ball recoveries,NA
Filip Kostić,Juventus,CAM_Winger,Errors,NA
Filip Kostić,Juventus,CAM_Winger,Touches,NA
Filip Kostić,Juventus,CAM_Winger,Miscontrols,NA
Filip Kostić,Juventus,CAM_Winger,Dispossessed,NA
Filip Kostić,Juventus,CAM_Winger,Yellow Cards,5
Filip Kostić,Juventus,CAM_Winger,Red Cards,0
Filip Kostić,Juventus,CAM_Winger,Fouls committed,29
Filip Kostić,Juventus,CAM_Winger,Aerials Won,NA
Gabriel Martinelli,Arsenal,CAM_Winger,Goals,8
Gabriel Martinelli,Arsenal,CAM_Winger,Assists,4
Gabriel Martinelli,Arsenal,CAM_Winger,NPG,8
Gabriel Martinelli,Arsenal,CAM_Winger,XG,7.4
Gabriel Martinelli,Arsenal,CAM_Winger,XA,5.0
Gabriel Martinelli,Arsenal,CAM_Winger,Progressive passes,52
Gabriel Martinelli,Arsenal,CAM_Winger,Progressive carries,124
Gabriel Martinelli,Arsenal,CAM_Winger,Passes completed,499
Gabriel Martinelli,Arsenal,CAM_Winger,Passes attempted,699
Gabriel Martinelli,Arsenal,CAM_Winger,Key passes,40
Gabriel Martinelli,Arsenal,CAM_Winger,Through balls,5
Gabriel Martinelli,Arsenal,CAM_Winger,Switches,2
Gabriel Martinelli,Arsenal,CAM_Winger,Crosses,92
Gabriel Martinelli,Arsenal,CAM_Winger,Corners,3
Gabriel Martinelli,Arsenal,CAM_Winger,Shot creating Actions,74
Gabriel Martinelli,Arsenal,CAM_Winger,SCA Take Ons,8
Gabriel Martinelli,Arsenal,CAM_Winger,GCA Shots,1
Gabriel Martinelli,Arsenal,CAM_Winger,Goal Creating Actions,7
Gabriel Martinelli,Arsenal,CAM_Winger,Tackles,23
Gabriel Martinelli,Arsenal,CAM_Winger,Dribblers tackles,NA
Gabriel Martinelli,Arsenal,CAM_Winger,Shots blocked,0
Gabriel Martinelli,Arsenal,CAM_Winger,Blocks,15
Gabriel Martinelli,Arsenal,CAM_Winger,Interceptions,5
Gabriel Martinelli,Arsenal,CAM_Winger,Passes Recieved,752
Gabriel Martinelli,Arsenal,CAM_Winger,Offsides,8
Gabriel Martinelli,Arsenal,CAM_Winger,Ball recoveries,78
Gabriel Martinelli,Arsenal,CAM_Winger,Errors,0
Gabriel Martinelli,Arsenal,CAM_Winger,Touches,994
Gabriel Martinelli,Arsenal,CAM_Winger,Miscontrols,50
Gabriel Martinelli,Arsenal,CAM_Winger,Dispossessed,38
Gabriel Martinelli,Arsenal,CAM_Winger,Yellow Cards,1
Gabriel Martinelli,Arsenal,CAM_Winger,Red Cards,0
